id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
18,2020-12-05 08:23:35,芬兰,26758,0,18100,408,0,0.0,336.0,,0.0,0.0,,,
19,2020-12-05 08:23:35,尼泊尔,238861,0,221847,1567,0,0.0,1272.0,,0.0,0.0,,,
95682,2020-12-05 08:23:36,葡萄牙,312553,0,234038,4803,0,0.0,4935.0,,5020.0,79.0,,,
95200,2020-12-05 08:23:36,也门,2267,0,1534,627,0,0.0,28.0,,9.0,3.0,,,
954356,2020-06-15 00:00:31,塞舌尔,11,0,11,0,0,,,,,,,,
20,2020-12-05 08:23:36,西班牙,1699145,0,196958,46252,0,0.0,5554.0,,0.0,214.0,,,
21,2020-12-05 09:43:39,斯里兰卡,26559,0,19438,130,0,0.0,521.0,,0.0,1.0,,,
9509,2020-12-05 08:23:36,阿尔及利亚,86730,0,56079,2492,0,0.0,803.0,,541.0,12.0,,,
22,2020-12-05 13:13:36,柬埔寨,345,0,305,0,0,0.0,10.0,,1.0,0.0,,,
95239,2020-12-05 09:43:39,海地,9347,0,8124,233,0,0.0,16.0,,10.0,0.0,,,
23,2020-12-05 08:23:36,瑞典,278912,0,4917,7067,0,0.0,6269.0,,0.0,0.0,,,
95237,2020-06-15 14:48:06,特里尼达和多巴哥,123,0,109,8,0,,,0.0,,,0.0,,
95jibuti,2020-12-05 08:23:35,吉布提,5690,0,5592,61,0,0.0,1.0,,1.0,0.0,,,
9512314,2020-06-15 11:44:39,圣多美与普林西比,659,0,176,12,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
953487,2020-12-05 08:23:36,布基纳法索,3091,0,2687,68,0,0.0,29.0,,8.0,0.0,,,
954332,2020-12-05 12:13:37,比利时,587439,0,0,17142,0,0.0,2582.0,,0.0,109.0,,,
9534324,2020-12-05 08:23:36,伊拉克,560622,0,489772,12387,0,0.0,1855.0,,0.0,0.0,,,
95000111,2020-12-05 08:23:36,马拉维,6047,0,5472,185,0,0.0,4.0,,0.0,0.0,,,
95010,2020-12-05 08:23:36,冰岛,5462,0,5223,27,0,0.0,14.0,,0.0,0.0,,,
95jnybs,2020-12-05 08:23:36,几内亚比绍,2441,0,2327,44,0,0.0,0.0,,0.0,0.0,,,
953333666,2020-12-05 08:23:36,拉脱维亚,19993,0,1849,242,0,0.0,686.0,,0.0,0.0,,,
9512111,2020-06-15 14:49:07,不丹,66,0,21,0,0,,,0.0,,,0.0,,
957873,2020-12-05 09:13:31,挪威,37801,0,17998,354,0,0.0,430.0,,0.0,0.0,,,
9524546,2020-12-05 08:23:36,印度尼西亚,563680,0,466178,17479,0,0.0,5803.0,,0.0,0.0,,,
956789,2020-12-05 08:23:35,安哥拉,15493,0,8299,353,0,0.0,132.0,,55.0,1.0,,,
87656,2020-06-15 13:46:13,开曼群岛,187,0,115,1,0,,,,,,,,
95844,2020-12-05 08:23:36,埃塞俄比亚,112091,0,78619,1734,0,0.0,512.0,,1234.0,10.0,,,
95879,2020-06-15 00:00:31,梵蒂冈,12,0,12,0,0,,,,,,,,
95632,2020-12-05 08:23:35,科特迪瓦,21412,0,21054,132,0,0.0,23.0,,32.0,0.0,,,
95634,2020-12-05 08:23:35,卡塔尔,139643,0,136872,239,0,0.0,166.0,,0.0,0.0,,,
95411,2020-06-12 17:03:24,莱索托,4,0,2,0,0,,,,,,,,
950611,2020-12-05 08:23:36,格鲁吉亚,152704,0,126904,1425,0,0.0,5068.0,,0.0,0.0,,,
96745,2020-12-05 11:13:34,墨西哥,1156770,0,852719,108863,0,0.0,12127.0,,9488.0,690.0,,,
95891,2020-12-05 08:23:36,圣马力诺,1756,0,1381,47,0,0.0,42.0,,25.0,1.0,,,
95400,2020-12-05 11:13:35,哈萨克斯坦,178178,0,150211,2482,0,0.0,792.0,,776.0,0.0,,,
95643,2020-12-05 08:23:35,安道尔,6955,0,6130,77,0,0.0,51.0,,64.0,0.0,,,
95886,2020-12-05 08:23:36,牙买加,10987,0,6730,260,0,0.0,76.0,,0.0,0.0,,,
82333,2020-06-15 13:26:03,格恩西岛,252,0,238,13,0,,,,,,,,
95677,2020-12-05 08:23:35,罗马尼亚,500273,0,390212,12052,0,0.0,8062.0,,0.0,0.0,,,
95436,2020-12-05 08:23:35,阿曼,124329,0,115866,1435,0,0.0,0.0,,0.0,0.0,,,
95672,2020-06-15 14:25:46,列支敦士登,82,0,55,1,0,,,,,,,,
9547021,2020-12-05 08:23:36,马达加斯加,17513,0,16657,255,0,0.0,172.0,,0.0,0.0,,,
